,acceptance,effective,steps_per_hmc,timestep
0,0.789,0.31560000000000005,2,0.4
1,0.7232,0.28928,3,0.4
2,0.6744,0.26976,4,0.4
3,0.6426,0.25704,5,0.4
4,0.6296,0.25184,6,0.4
5,0.648,0.25920000000000004,7,0.4
6,0.6834,0.27336,8,0.4
7,0.7278,0.29112,9,0.4
8,0.8108,0.32432,10,0.4
9,0.8448,0.33792,11,0.4
10,0.83,0.332,12,0.4
11,0.7722,0.30888000000000004,13,0.4
12,0.719,0.2876,14,0.4
13,0.6616,0.26464,15,0.4
14,0.6392,0.25568,16,0.4
15,0.6272,0.25088,17,0.4
16,0.6232,0.24928,18,0.4
17,0.6612,0.26448,19,0.4
18,0.7174,0.28696000000000005,20,0.4
19,0.778,0.31120000000000003,21,0.4
20,0.8086,0.32344,22,0.4
21,0.8038,0.32152000000000003,23,0.4
22,0.755,0.30200000000000005,24,0.4
23,0.6978,0.27912,25,0.4
24,0.65,0.26,26,0.4
25,0.6048,0.24192000000000002,27,0.4
26,0.6174,0.24695999999999999,28,0.4
27,0.621,0.2484,29,0.4
28,0.639,0.2556,30,0.4
29,0.695,0.27799999999999997,31,0.4
30,0.7456,0.29824,32,0.4
31,0.7708,0.30832000000000004,33,0.4
32,0.7912,0.31648000000000004,34,0.4
33,0.7774,0.31096,35,0.4
34,0.7104,0.28416,36,0.4
35,0.6592,0.26368,37,0.4
36,0.6296,0.25184,38,0.4
37,0.604,0.2416,39,0.4
38,0.6,0.24,40,0.4
39,0.646,0.2584,41,0.4
40,0.6456,0.25823999999999997,42,0.4
41,0.6958,0.27832,43,0.4
42,0.7452,0.29808,44,0.4
43,0.7534,0.30136,45,0.4
44,0.7378,0.29512,46,0.4
45,0.6812,0.27248,47,0.4
46,0.643,0.25720000000000004,48,0.4
47,0.6194,0.24775999999999998,49,0.4
48,0.605,0.242,50,0.4
49,0.5926,0.23704000000000003,51,0.4
50,0.6148,0.24592000000000003,52,0.4
51,0.6518,0.26072,53,0.4
52,0.7006,0.28024,54,0.4
53,0.7378,0.29512,55,0.4
54,0.7386,0.29544000000000004,56,0.4
55,0.7368,0.29472000000000004,57,0.4
56,0.7022,0.28088,58,0.4
57,0.6338,0.25352,59,0.4
